GAME_ID,TEAM_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,FTM,FTA,FG_PCT,FG3_PCT,FT_PCT,PTS
1000,100,1,10.0,13.0,12.0,13.0,12.0,12.0,76.92307692307693,92.3076923076923,100.0,44.0
1000,100,2,4.0,16.0,4.0,8.0,7.0,8.0,25.0,50.0,87.5,19.0
1000,200,3,2.0,20.0,6.0,13.0,5.0,12.0,10.0,46.15384615384615,41.66666666666667,15.0
1000,200,4,8.0,16.0,2.0,8.0,7.0,8.0,50.0,25.0,87.5,25.0
2000,100,1,10.0,21.0,4.0,13.0,10.0,12.0,47.61904761904761,30.76923076923077,83.33333333333334,34.0
2000,100,2,11.0,16.0,5.0,8.0,4.0,8.0,68.75,62.5,50.0,31.0
2000,300,5,8.0,14.0,10.0,13.0,9.0,12.0,57.14285714285714,76.92307692307693,75.0,35.0
2000,300,6,7.0,16.0,6.0,8.0,3.0,8.0,43.75,75.0,37.5,23.0
3000,200,3,5.0,13.0,7.0,13.0,9.0,12.0,38.46153846153847,53.84615384615385,75.0,26.0
3000,200,4,3.0,17.0,2.0,8.0,6.0,8.0,17.647058823529413,25.0,75.0,14.0
3000,300,5,4.0,8.0,4.0,13.0,11.0,12.0,50.0,30.76923076923077,91.66666666666666,23.0
3000,300,6,8.0,16.0,3.0,8.0,3.0,8.0,50.0,37.5,37.5,22.0
