car_id,model_id,specification_id,scale,note,box_location
1,1,1,1/64,,1A00
2,2,2,1/64,,1A01
3,3,3,1/64,,1A02
4,4,4,1/64,,1A03
5,5,5,1/64,,1A04
6,6,6,1/64,flathead straight 6,1A05
7,7,7,1/64,,1A06
8,8,8,1/64,,1A10
9,9,9,1/64,,1A11
10,10,10,1/64,,1A12
11,11,11,1/64,,1A13
12,12,12,1/64,,1A14
13,13,13,1/64,,1A15
14,11,14,1/64,,1A16
15,12,15,1/64,,1A20
16,13,16,1/64,,1A21
17,14,17,1/64,,1A22
18,15,18,1/64,,1A23
19,13,19,1/64,,1A24
20,16,20,1/64,,1A25
21,17,21,1/64,,1A26
22,18,22,1/64,,1B00
23,19,23,1/64,,1B01
24,10,24,1/64,,1B02
25,10,25,1/64,flathead 6,1B03
26,21,26,1/64,,1B04
27,12,27,1/64,,1B04
28,4,28,1/64,,1B05
29,12,29,1/64,,1B06
30,24,30,1/64,,1B10
31,25,31,1/64,,1B11
32,10,32,1/64,,1B12
33,15,33,1/64,,1B13
34,17,34,1/87,,0A00
35,17,35,1/87,,0A01
36,17,36,1/87,,0A02
37,20,37,1/87,,0A03
38,22,38,1/87,,0A04
39,23,39,1/87,,0A05
40,24,40,1/87,straight 8,0A06
41,22,41,1/87,,0A10
