model_id,manufacturer_id,year,model_name,model_ext_name
1,3,1959,El Camino,
2,4,1957,300 C,
3,1,1971,Matador,
4,8,1949,Lead Sled,
5,9,1967,442,W-30
6,12,1954,Champion,
7,3,1966,Suburban,
8,12,1954,Commander,Starliner
9,10,1957,Belvedre,
10,8,1948,Coupe,
11,2,1979,Eldorado,
12,3,1964,Belair,
13,3,1955,Sedan Delivery,
14,2,1975,Eldorado,
15,6,1971,Challenger,R/T
16,10,1968,GTX,
17,10,1969,Road Runner,
18,7,1973,Thunderbird,
19,10,1969,GTX,
20,7,1948,Club Coupe,
21,3,1963,Impala,
22,3,1969,Chevelle,low rider
23,5,1957,FireFlite,
24,7,1936,Coupe,Model 68
25,10,1941,Coupe,
26,4,1954,Sun Valley,
27,3,1955,Belair,Model 210
28,8,1949,Lead Sled,
29,3,1955,Belair,2-dr sport coupe
30,3,1963,Chevy II,wagon
31,11,1967,GTO,
32,3,1953,Coupe,Model 210
33,7,1974,Thunderbird,
34,3,1961,Impala,convertible
35,3,1958,Impala,Sport Coupe
36,3,1958,Impala,
37,13,1954,Century,Estate Wagon
38,9,1957,Rocket 88,convertible
39,4,1959,Imperial,
40,14,1942,Clipper,Turing Sedan
41,9,1950,Rocket 88,Coupe
