specification_id,year,manufacturer_id,displacement,top_color_id,bottom_color_id
1,1959,3,289,1,1
2,1957,4,392,2,2
3,1971,1,401,6,6
4,1949,8,255,4,4
5,1967,9,400,7,7
6,1954,12,170,11,11
7,1966,3,327,11,11
8,1954,12,232,7,7
9,1957,10,301,6,6
10,1948,8,255,11,11
11,1979,2,5.7 liter,6,6
12,1964,3,409,11,11
13,1955,3,3.9 liter,2,2
14,1975,2,500,6,6
15,1971,6,426 hemi,9,9
16,1968,10,440 High Performance,4,4
17,1969,10,426 hemi,9,9
18,1973,7,460,11,11
19,1969,10,440 High Performance,1,1
20,1948,7,239,11,11
21,1963,3,327,2,2
22,1969,3,396,2,2
23,1957,5,383,7,7
24,1936,7,232,11,11
25,1941,10,201,11,11
26,1954,4,256,7,7
27,1955,3,265,11,11
28,1949,8,255,10,10
29,1955,3,265,6,6
30,1963,3,355,2,2
31,1967,11,400,9,9
32,1953,3,350,11,11
33,1974,7,460,4,4
34,1961,3,409,4,4
35,1958,3,348,6,1
36,1958,3,348,2,2
37,1954,13,322,6,7
38,1957,9,371,6,7
39,1959,4,413,7,7
40,1942,14,356,4,4
41,1950,9,304,3,8
